ID,y
1,76.85
2,95.9
3,78.72
4,80.87
5,106.25
8,89.48
10,111.52
11,94.94
12,116.37
14,85.26
15,118.62
16,106.11
17,104
19,106.61
20,103.51
21,130
22,116.72
23,99.03
26,93.41
28,104.14
29,99.03
33,99.03
35,97.46
41,98.16
42,89.43
43,124.76
45,110.17
46,103.23
51,102.44
53,86.6
55,122.02
56,93.73
57,104.64
58,97.59
59,107.79
63,111.84
64,91.77
65,108.01
69,92.73
71,99.58
72,96.5
73,86.81
76,107.46
77,111.31
78,119.74
82,100.47
83,108.01
84,98.43
85,96.1
87,106.63
88,98.16
89,114.39
91,100.94
93,92.33
94,112.63
95,92.6
96,107.77
97,99.79
98,106.33
99,89.49
101,102.03
103,114.39
104,99.45
105,114.07
110,91.15
111,113.53
113,119.83
114,97.09
115,113.19
117,114.39
120,88.43
121,118.51
122,117.2
123,110.93
126,109.76
132,113.32
135,94.12
137,112.29
138,96.39
140,94.84
142,103.04
144,122.41
148,87.96
149,132.55
155,91.97
156,112.73
157,99.79
162,118.74
163,90.09
167,95.07
172,124.76
179,124.48
180,126.36
181,108.2
182,103.34
183,114.39
185,114.39
187,112.47
188,93.44
189,97.35
191,94.88
192,119.83
193,96.9
194,110.56
195,93.86
196,115.48
198,97.74
199,112.89
201,101.66
204,98.23
205,110.27
206,93.88
210,96.6
211,102.03
216,116.79
219,122.61
220,88.09
221,112.37
226,108.2
227,90.94
228,111.04
230,110.3
231,99.79
235,119.9
236,90.66
238,110.55
242,106.07
243,98.88
244,86.98
245,114.31
247,121.08
248,84.88
249,89.85
250,111.28
251,90.66
253,119.9
254,100.25
256,99.71
257,87.35
258,109.6
259,91.65
262,82.27
266,87.89
267,117.86
272,95.54
273,114.39
275,126.22
276,127.1
279,97.7
280,108.01
283,89.55
285,128.73
288,114.39
289,102.86
290,102.55
291,90.02
292,102.48
293,112.08
296,136.05
297,112.53
298,110.67
299,90.86
304,87.52
305,72.81
306,90.9
307,108.18
311,114.41
313,108.27
314,90.4
316,90.22
324,90.47
327,96.23
329,89.2
330,120.75
337,96.25
338,86.2
339,99.53
340,86.92
343,88.85
345,112.09
346,97.23
347,111.3
349,113.24
350,96.06
352,113.61
353,84.79
354,70.66
357,90.57
358,116.27
362,110.58
364,120.09
365,104.79
366,104.75
367,111.15
368,93.1
370,69.51
373,91.37
377,87.84
378,106.49
382,101.88
384,107.47
390,94.97
392,121.84
393,103.5
395,94.59
396,101.7
399,78.27
406,108.27
408,108.27
409,93.07
410,72.8
412,119.6
413,90.81
419,93.46
420,116.48
421,86.6
430,83.4
434,90.17
436,89.9
437,90.31
438,86.9
439,110.91
440,87.2
443,112.73
446,94.88
448,92.98
452,85.51
453,98.98
457,94.92
458,99.65
459,105.63
460,103.24
462,105.82
464,91.67
465,112.04
467,113.53
471,107.97
472,71.95
473,94.3
475,98.24
480,98.13
488,99.47
490,108.18
491,106.05
492,76.81
493,84.37
497,95.16
498,122.8
499,90.96
500,102.81
501,93.52
502,115.49
506,89.24
510,98.6
511,87.92
512,89.16
516,107.19
518,89.93
519,113.92
521,92.73
522,103.86
526,112.65
529,93.75
532,107.32
533,86.52
536,114.66
537,85.84
539,87.27
540,106.28
541,97.53
543,91.84
546,115.54
547,87.21
548,87.95
551,86.82
552,103.15
556,101.69
557,97.9
558,111.15
559,85.08
560,105.41
562,113.73
566,80.56
570,122.8
571,90.31
572,102.87
573,92.8
575,112.04
576,103.73
577,95.32
579,90.31
580,112.48
581,115.32
589,108.18
591,105.08
593,90.14
594,102.11
595,96.15
598,89.89
602,109.92
604,108.35
606,102.32
608,102.35
609,106.54
610,94.84
616,112.19
617,91.75
618,96.48
620,106.15
622,109.81
623,89.4
624,134.63
626,114.67
628,118.47
629,94.28
630,106.12
637,88.17
638,94.82
643,101.54
645,98.13
646,130.73
648,88.08
652,86.27
653,94.18
654,122.8
656,107.61
657,99.89
659,92.1
660,102.29
663,81.89
664,112.85
666,103.61
668,116.42
669,92.03
671,90.99
675,98.81
677,88.51
678,112.13
679,101.43
682,89.85
685,99.92
687,101.88
688,84.48
693,113.75
696,93.2
698,100.09
701,102.43
704,104.2
705,113.36
709,109.95
710,108.68
711,96.02
712,88.29
714,106.48
715,97.78
716,107.47
717,95.67
720,110.86
721,94.69
724,95.42
725,88.97
726,115.02
728,106.92
731,93.63
734,99.02
738,85.69
745,118.39
746,104
751,83.8
754,91.02
756,98.04
758,101.45
759,108.43
761,113.1
766,89.94
767,108.06
768,92.41
769,124
770,99.69
771,77.51
772,103.05
773,87.01
774,108.36
776,109.48
777,97.21
780,116.63
782,100
787,101.08
788,92.92
792,93.8
793,115.14
798,95.42
800,91.55
806,107.47
809,108.4
811,110.91
812,91.06
814,112.24
816,109.29
817,87.67
818,110.14
820,102.3
823,88.55
829,100.83
830,112.58
831,84.85
834,103.76
839,94.51
841,78.06
844,104.33
845,95.7
848,92.65
850,84.74
851,100.54
852,84.12
854,95.63
855,89.08
856,103.86
859,99.44
861,108.36
864,96.96
865,114.2
866,90.48
867,100.51
869,102.48
871,99.2
872,107.47
882,101.33
883,92.71
885,96.95
888,101.5
893,107.73
901,110.35
903,103.68
904,95.08
905,101.57
910,92.49
911,111.62
914,111.58
918,107.38
921,89.24
928,93.21
929,103.9
932,88.04
933,121.05
934,92.49
935,109.11
937,82.09
939,92.46
940,100.49
941,98.07
942,100.12
